epoch,accuracy,loss,val_accuracy,val_loss
0,0.3445889949798584,1.336529016494751,0.4149855971336365,1.3056005239486694
1,0.6296706199645996,1.0143717527389526,0.680115282535553,0.9405443668365479
2,0.7915859222412109,0.5916905999183655,0.7118155360221863,0.7712045907974243
3,0.84721839427948,0.41484934091567993,0.7089337110519409,0.7730587720870972
4,0.8890119194984436,0.319688081741333,0.7146974205970764,0.8063778281211853
5,0.9139219522476196,0.25741061568260193,0.7060518860816956,0.8752032518386841
6,0.9344035387039185,0.2093975991010666,0.7002881765365601,0.9397520422935486
7,0.9460282325744629,0.17226405441761017,0.6887608170509338,0.9983575940132141
8,0.9548851251602173,0.14420130848884583,0.6945244669914246,1.0430454015731812
9,0.9612510204315186,0.12819725275039673,0.6829971075057983,1.1214711666107178
10,0.9676169157028198,0.11091501265764236,0.7002881765365601,1.1320430040359497
11,0.9673401713371277,0.10604237765073776,0.6858789920806885,1.2160080671310425
12,0.971491813659668,0.09166558086872101,0.6743515729904175,1.284315824508667
13,0.974259614944458,0.0898800641298294,0.6685879230499268,1.3325029611587524
14,0.973429262638092,0.09006640315055847,0.6743515729904175,1.3546279668807983
15,0.975643515586853,0.08316218852996826,0.6657060384750366,1.3887659311294556
16,0.9759202599525452,0.0751311331987381,0.6743515729904175,1.450240135192871
17,0.9778577089309692,0.07066698372364044,0.6685879230499268,1.4453142881393433
18,0.9773041605949402,0.0717238336801529,0.6772334575653076,1.4634376764297485
19,0.9784113168716431,0.06803382933139801,0.6628242135047913,1.5008774995803833
20,0.9781345129013062,0.06548649817705154,0.6685879230499268,1.5672348737716675
21,0.9789648652076721,0.060366857796907425,0.6772334575653076,1.5814956426620483
22,0.9775809645652771,0.06645482033491135,0.680115282535553,1.5944772958755493
23,0.9789648652076721,0.06287912279367447,0.680115282535553,1.5578393936157227
24,0.9773041605949402,0.05949122831225395,0.6743515729904175,1.583552360534668
